fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.55,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.65,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.75,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.85,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.95,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chrXV:154073_G/A|YKR093W,chrXV:154073_G/A|YER001W,chrXV:154073_G/A|YCR102C,YNL134C|YGR234W,YNL134C|YLR340W,YKR093W|YER156C,YKR093W|YJR011C,YKL062W|YPR154W,YKL062W|YGL038C,YPR154W|YNL134C,YPR154W|YOR221C,YPR154W|YLR340W,YER156C|YOR221C,YER001W|YOL089C,YER001W|YOL111C,YOR221C|YOL089C,YOR221C|YER156C,YLR340W|YPR154W,YJR011C|YOL089C,YJR011C|YLR340W,YGL038C|YKL062W,YGL038C|YOL111C,YOL111C|YLR340W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
