fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.55,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.6,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.65,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.7,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.75,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.8,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.85,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.9,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.95,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
1,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
