fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.55,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YAR018C|YDR191W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.6,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YAR018C|YDR191W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.65,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YAR018C|YDR191W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.7,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YPL132W,YAR018C|YDR191W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.75,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YAR018C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YPL132W,YAR018C|YDR191W,YAR018C|YEL032W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.8,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YAR018C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YPL132W,YAR018C|YDR191W,YAR018C|YEL032W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.85,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YAR018C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YPL132W,YAR018C|YDR191W,YAR018C|YEL032W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.9,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YAR018C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YPL132W,YAR018C|YDR191W,YAR018C|YEL032W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
0.95,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YAR018C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YPL132W,YAR018C|YDR191W,YAR018C|YEL032W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
1,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YAR018C,YDR191W|YGR092W,YPL132W|YGR092W,YEL032W|YOL011W,YBR147W|YPL132W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YPL132W,YAR018C|YDR191W,YAR018C|YEL032W,YAR018C|YHR110W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
