fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.55,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.6,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.65,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.7,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.75,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.8,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.85,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.9,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.95,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
1,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
