fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YGL125W|YLR301W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YBR145W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.55,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YGL125W|YLR301W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YGL125W|YLR301W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.65,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YGL125W|YLR301W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YLR301W|YGL125W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.75,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YLR301W|YGL125W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.8,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YLR301W|YGL125W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.85,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YLR301W|YGL125W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.9,YNL199C|YCR095C,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YLR301W|YGL125W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.95,YNL199C|YCR095C,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YLR301W|YGL125W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
1,YNL199C|YCR095C,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YGL255W|YEL034W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YJL194W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YLR301W|YGL125W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
