fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.55,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.65,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.75,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.85,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.95,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chrVIII:51314_C/A|YHL027W,chrVIII:51314_C/A|YJL157C,YHL027W|YHR028C,YHL027W|YHL009C,YJL157C|YBR067C,YJL157C|YDL090C,YEL060C|YHL027W,YEL060C|YHR028C,YPL204W|YHL027W,YPL204W|YHR028C,YPL204W|YHL009C,YHL009C|YJL157C,YHL009C|YPL204W,YHL009C|YCL056C,YDL090C|YCL056C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
