fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YEL037C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YIL075C,YDL126C|YHR092C,YDL126C|YBR170C,YOR117W|YDL126C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YKL015W|YDL143W,YKL015W|YCR059C,YHR047C|YHR092C,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YBR082C,YBR170C|YDL126C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.55,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YEL037C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.6,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YEL037C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.65,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YEL037C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.7,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YEL037C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.75,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YEL037C|YDL143W,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YCR059C|YDL143W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.8,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YEL037C|YDL143W,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YCR059C|YDL143W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.85,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YEL037C|YDL143W,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YCR059C|YDL143W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.9,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YEL037C|YDL143W,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YCR059C|YDL143W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.95,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YEL037C|YDL143W,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YCR059C|YDL143W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
1,chrIV:415049_T/C|YDL020C,chrIV:415049_T/C|YDL039C,chrIV:415049_T/C|YDR039C,YDL020C|YDR036C,YDL020C|YPR006C,YDL143W|YHR047C,YDL143W|YCR059C,YDR277C|YDL020C,YDR277C|YHR092C,YDR277C|YPL113C,YDL126C|YOR117W,YDL126C|YBR170C,YOR117W|YGL048C,YER021W|YOR261C,YER021W|YKL015W,YER021W|YPR108W,YOR261C|YER021W,YOR261C|YPR108W,YDL007W|YNL155W,YDL007W|YOR007C,YIL075C|YDL126C,YIL075C|YGL013C,YHR092C|YDR277C,YHR092C|YDL126C,YHR092C|YHR047C,YKL015W|YDL143W,YKL015W|YCR059C,YEL037C|YDL143W,YGL012W|YBL098W,YDL004W|YDR036C,YDL004W|YNL155W,YDL004W|YBL098W,YCR059C|YDL143W,YGL048C|YOR117W,YGL048C|YER012W,YGL048C|YPR108W,YGL013C|YIL075C,YGL013C|YDR036C,YGL013C|YKL015W,YGL013C|YGL012W,YOR007C|YEL037C,YER012W|YNL155W,YER012W|YGL048C,YER012W|YBR082C,YDL039C|YGL012W,YDL039C|YBR082C,YBR170C|YOR007C,YPR108W|YER021W,YPR108W|YOR261C,YPR108W|YGL048C,YDL131W|YHR047C,YDL131W|YNL155W,YDL131W|YCR059C,YDR039C|YDR078C,YBR082C|YGL012W,YPL113C|YDR277C,YPL113C|YBL098W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
