fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.55,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.65,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.75,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.85,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.9,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.95,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
