fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0.5,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.55,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.6,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.65,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.7,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.75,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.8,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.85,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.9,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.95,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
1,chrX:329903_C/T|YJL056C,chrX:329903_C/T|YNL051W,YDR284C|YGL256W,YDR284C|YLR130C,YDR284C|YBR072W,YGL256W|YJL056C,YGL256W|YDR284C,YLR130C|YJL056C,YLR130C|YDR284C,YLR130C|YNL051W,YBR072W|YJL056C,YBR072W|YDR284C,YJR094C|YNL051W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
